Number,"Customer name",Date,"po number","due date",terms,"public notes","private notes",description,product_id,unit_price,unit_discount,unit_tax,quantity,shipping_cost,tax_rate,"custom value1","custom value2","custom value3","custom value4",exchange_rate,"Amount Paid","Payments Made"
0049,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0048,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0047,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0046,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0045,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0044,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0043,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0042,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0041,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0040,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0039,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
5348368109535,"Dr. Shania Hansen V",2021-05-24,,"2021-05-27 00:00:00","Dolor ut provident explicabo maxime eos sed nobis. Omnis unde odio et dolorem. Non et earum quis laborum. Consequuntur et rerum occaecati occaecati voluptatum. Nulla vel repudiandae vel consectetur voluptas. Et est quos suscipit soluta qui delectus. Sint provident omnis et sequi voluptate. Voluptas maiores ut eum est sunt. Ut saepe nostrum voluptatem distinctio. Iste dolorem vitae porro excepturi sed. Consequatur sed consequatur inventore quidem.",,,,,160,0,5,1,0,0,,,,,1,,
6841302660578,"Mustafa Witting MD",2021-05-24,,"2021-05-27 00:00:00","Ipsa ipsa vitae et eaque sequi. Dolorem ratione laborum ex. Tempore aut pariatur sed accusamus dolores aperiam. In voluptatum error ut iusto commodi. Maxime nihil ut blanditiis autem occaecati. Est debitis omnis rerum molestiae quidem. Molestias laudantium laudantium repellendus consequatur. Odit culpa autem rerum laboriosam modi. Consequatur voluptatem dolor consequatur eum tenetur. Perspiciatis magnam ut omnis atque molestiae.",,,,,160,0,5,1,0,0,,,,,1,,
5789438882383,"Willie Stiedemann",2021-05-24,,"2021-05-27 00:00:00","Minus nisi consequatur nam nam omnis voluptatem quam illum. Aut et cum eum maxime dolor. Consequuntur sed culpa nihil quis. Labore nulla recusandae dignissimos nihil. Dicta magni sed qui sed. Temporibus occaecati est delectus et ipsa et iure. Voluptates rerum atque et inventore. Ipsam excepturi fugit sapiente. Sed sunt quae aut facilis pariatur omnis et. Quaerat aspernatur deleniti pariatur rerum. Dolores illo et ut sit a tempore quia.",,,,,160,0,5,1,0,0,,,,,1,,
1821452150476,"Madelyn Goyette III",2021-05-24,,"2021-05-27 00:00:00","Blanditiis qui excepturi autem ut inventore. Est enim et velit fuga eos. Deserunt repellat quod ipsam cupiditate. Eligendi veritatis repellat magni vero. Accusantium est velit ut voluptatem. Optio iusto cumque repellendus culpa beatae impedit. Dolorem sunt dignissimos expedita laboriosam ratione impedit dignissimos. Molestias tempora id dolorum nisi eum.",,,,,160,0,5,1,0,0,,,,,1,,
4384669606459,"Ms. Kelsi Bayer",2021-05-24,,"2021-05-27 00:00:00","Nihil sint totam quia nesciunt asperiores nam voluptas commodi. Minus et nihil ipsam ipsam voluptatum esse. Unde nam eius voluptates et. Exercitationem repellendus aut hic vitae. Nihil iste tempore qui. Soluta maxime quo ullam et ut. Maxime deleniti ipsa et sit corrupti. Sed corrupti atque qui et soluta amet. Ut inventore quia eveniet iusto. Ea et omnis sint earum. Omnis sit et quod autem neque sed. Et iste reprehenderit est quam.",,,,,160,0,0,1,0,0,,,,,1,,
5095125749021,"Octavia Lakin",2021-05-24,,"2021-05-27 00:00:00","Est et consequatur sed impedit explicabo omnis natus. Tempora aut sapiente iusto itaque corporis distinctio. Similique qui non et quia et suscipit quia optio. Et sint voluptate aut et accusamus ut. Sit unde qui tempore. Voluptatem ea id et. Ullam velit quo rerum enim commodi ullam non. Et laudantium est saepe eligendi dignissimos impedit. Illo dicta quia dolor qui rem debitis asperiores qui. Ut qui voluptates corporis. Reiciendis aspernatur aut aspernatur maiores saepe cupiditate qui.",,,,,160,0,0,1,0,0,,,,,1,,
4006229951365,"Gaetano Mueller V",2021-05-24,,"2021-05-27 00:00:00","Quis omnis quisquam et inventore et. Magni minus et rerum quam quae. Et labore hic nulla ullam qui sit. Commodi velit dicta fugit fugiat laudantium ducimus. Et odio consectetur officia qui. Atque tenetur reprehenderit enim corporis est deleniti suscipit. Deserunt laudantium iste ut alias est ea cum. Soluta ut perferendis eos officia assumenda. Distinctio aut et ipsum et omnis quo.",,,,,160,0,0,1,0,0,,,,,1,,
3205356664501,"Stevie Shields III",2021-05-24,,"2021-05-27 00:00:00","Quis quibusdam aut culpa qui perspiciatis. Asperiores similique laudantium suscipit amet. Voluptatibus aliquam id alias animi. Doloribus tempora accusantium id accusamus. Explicabo optio dolorem aut non est inventore fugiat. Ut nostrum eaque illum aut natus culpa. Asperiores exercitationem voluptatem hic modi sit.",,,,,160,0,0,1,0,0,,,,,1,,
4987012905140,"Dandre Kuphal",2021-05-24,,"2021-05-27 00:00:00","Eos sit et doloremque. Rerum dolores enim sequi commodi. Qui officiis voluptatem ea. Eos quaerat porro eos dolores natus eos. Voluptatibus tempora officiis eius ea cupiditate. Vel magni ea odio quod. Labore et et quibusdam neque ut ea. Non alias provident qui numquam maxime voluptatem doloribus. Sequi et incidunt autem et iste. Porro veniam labore sunt error molestias fuga a.",,,,,160,0,0,1,0,0,,,,,1,,
0038,"Michael Hampton",2021-05-11,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,,
0037,"Michael Hampton",2021-05-31,,"2021-05-31 00:00:00","invoice terms",public,,"PaymentGateway Fee",,1.5,0,0,1,0,0,,,,,1,24.52,0030
0036,"Michael Hampton",2021-05-09,,"2021-05-10 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,23.02,0029
0035,"Michael Hampton",2021-05-09,,"2021-05-10 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,23.02,0028
0034,"Michael Hampton",2021-05-08,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,23.02,0027
0033,"Michael Hampton",2021-05-04,,"2021-05-27 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,23.02,0026
0032,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,,
0031,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,,
0030,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,,
0029,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,,
0028,"Michael Hampton",2021-04-29,,"2021-05-27 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,,
0027,"Michael Hampton",2021-04-23,,"2021-04-30 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1,,
